,date,race,horse_name,lbw,race_win_div_pred,win_div_3,wager,return,win_count,profit_loss,acc_profit_loss,total_wager_count,winning_wager_count
16,2019-01-01,2,FOREVER WIN,-8.3,7.249999999999999,11,-5,0.5,0,-4.5,-4.5,0,0
63,2019-01-01,6,HAPPY SAGA,-7.4,12.0625,19,-5,0.5,0,-4.5,-9.0,1,0
67,2019-01-01,7,LETITGO,0.0,12.999999999999998,24,-5,24.0,1,19.0,10.0,2,1
115,2019-01-06,1,FULL LUCK,-4.1,8.6875,12,-5,0.5,0,-4.5,5.5,3,1
221,2019-01-11,2,GOLD STAR,0.0,9.625000000000002,11,-5,11.0,1,6.0,11.5,4,2
239,2019-01-11,3,ANCIENT WARRIOR,-3.9,10.125,23,-5,0.5,0,-4.5,7.0,5,2
273,2019-01-11,6,ATHLETICA,-5.9,5.9375,17,-5,0.5,0,-4.5,2.5,6,2
282,2019-01-11,7,HELIOSPHERE,-0.7,7.9375,10,-5,0.5,0,-4.5,-2.0,7,2
308,2019-01-13,1,SUPER DENMAN,0.0,20.0,24,-5,24.0,1,19.0,17.0,8,3
320,2019-01-13,2,BOY NEXT DOOR,0.0,8.5625,20,-5,20.0,1,15.0,32.0,9,4
343,2019-01-13,4,SUCCESS COME TRUE,-1.5,7.0625,19,-5,0.5,0,-4.5,27.5,10,4
356,2019-01-13,6,PAPARAZZI,-2.0,16.1875,18,-5,0.5,0,-4.5,23.0,11,4
391,2019-01-13,9,CLASSIFIED,0.0,12.125,17,-5,17.0,1,12.0,35.0,12,5
5,2019-01-18,1,EVERYBODY HAPPY,-2.3,10.687500000000002,13,-5,0.5,0,-4.5,30.5,13,5
23,2019-01-18,3,NO FUN NO GAIN,0.0,14.5625,17,-5,17.0,1,12.0,42.5,14,6
35,2019-01-18,4,SACRED DON,-1.0,13.375,16,-5,0.5,0,-4.5,38.0,15,6
68,2019-01-18,7,BE BEE,0.0,9.6875,16,-5,16.0,1,11.0,49.0,16,7
85,2019-01-18,8,MACH,-4.0,14.25,25,-5,0.5,0,-4.5,44.5,17,7
141,2019-01-20,6,MAJESTIC EMPRESS,-1.0,19.75,27,-5,0.5,0,-4.5,40.0,18,7
168,2019-01-20,9,NIMBLE,0.0,13.4375,15,-5,15.0,1,10.0,50.0,19,8
218,2019-01-25,4,ELENA OF AVALOR,-2.3,19.142857142857146,26,-5,0.5,0,-4.5,45.5,20,8
259,2019-01-25,8,LUCKY HADA,-1.5,22.666666666666668,25,-5,0.5,0,-4.5,41.0,21,8
47,2019-02-01,4,SALAMENCE,-8.7,17.1875,25,-5,0.5,0,-4.5,36.5,22,8
117,2019-02-03,2,COLOUR PAINT,-5.2,14.8125,25,-5,0.5,0,-4.5,32.0,23,8
134,2019-02-03,4,SACRED CROIX,0.0,6.624999999999999,19,-5,19.0,1,14.0,46.0,24,9
156,2019-02-03,6,EASTIGER,0.0,8.3125,17,-5,17.0,1,12.0,58.0,25,10
188,2019-02-03,8,IMPERIAL FALLS,-13.7,20.538461538461537,22,-5,0.5,0,-4.5,53.5,26,10
215,2019-02-06,2,JUPITER DRAGON,-2.7,16.0625,19,-5,0.5,0,-4.5,49.0,27,10
225,2019-02-06,3,IRVING LIPSCHITZ,0.0,7.125,21,-5,21.0,1,16.0,65.0,28,11
235,2019-02-06,4,ACCUMULATION,-6.5,11.1875,19,-5,0.5,0,-4.5,60.5,29,11
254,2019-02-06,6,QUARTER BACK,0.0,14.0,22,-5,22.0,1,17.0,77.5,30,12
261,2019-02-06,6,EYE GUY,-5.1,20.363636363636363,21,-5,0.5,0,-4.5,73.0,31,12
269,2019-02-06,7,BEBOP,-0.5,16.0625,21,-5,0.5,0,-4.5,68.5,32,12
282,2019-02-06,8,MISTER YEOH,-1.7,17.6875,21,-5,0.5,0,-4.5,64.0,33,12
342,2019-02-08,4,SACRED DON,0.0,14.1875,15,-5,15.0,1,10.0,74.0,34,13
3,2019-02-15,1,RUN THE DAY,-1.6,7.5625,20,-5,0.5,0,-4.5,69.5,35,13
107,2019-02-17,2,TOOSBIES,0.0,13.874999999999998,17,-5,17.0,1,12.0,81.5,36,14
131,2019-02-17,4,ELENA OF AVALOR,-0.5,11.0,15,-5,0.5,0,-4.5,77.0,37,14
152,2019-02-17,6,NADEEM SAPPHIRE,-2.1,18.25,25,-5,0.5,0,-4.5,72.5,38,14
161,2019-02-17,7,BE BEE,-0.5,9.375,18,-5,0.5,0,-4.5,68.0,39,14
243,2019-02-22,4,RUN THE DAY,-9.5,7.5625,20,-5,0.5,0,-4.5,63.5,40,14
14,2019-03-01,2,GALVARINO,0.0,5.6875,15,-5,15.0,1,10.0,73.5,41,15
27,2019-03-01,3,SALVADOR,-0.8,13.0625,15,-5,0.5,0,-4.5,69.0,42,15
75,2019-03-01,7,GLASGOW,0.0,20.187499999999996,27,-5,27.0,1,22.0,91.0,43,16
