date,race,class,distance,surface,colour,horse_no,Last 5 Runs,horse_name,EA,gear,jockey,trainer,barrier,rating,Wt,Desc,Sire,Dam,Owner,Rating + / -
21/07/2019,1,C5,1400,T,,2,95758,MAJESTIC,,TT,M ZAKI,D KOK,2,48,60,4yo CH USA G NH,MIZZEN MAST (USA),SUNSET RIDE (USA),MAJESTIC STABLE,-1
21/07/2019,1,C5,1400,T,,3,0*369,PRINCE PEGASUS,,,APP M NIZAR,M WALKER,13,48,60,5yo B AUS G SH,BENETEAU (AUS),SASSY PEG (AUS),FAIRDEAL STABLE,-1
21/07/2019,1,C5,1400,T,,4,53*06,HERO STAR,,B,B MELHAM,D MEAGHER,3,47,59.5,5yo B AUS G SH,MAGIC ALBERT (AUS),BELLA CASSANI (AUS),HO LI WEN,-1
21/07/2019,1,C5,1400,T,,6,7,COMECATCHME,,,J AZZOPARDI,ZL MOK,7,46,59,3yo B IRE G NH,CAMACHO (GB),FOXTROT PEARL (IRE),FRIENDSHIP STABLE,-
21/07/2019,1,C5,1400,T,,7,24*2*,HERO IN THE WIND,,B,S NOH,H TAKAOKA,14,46,59,5yo CH JPN G NH,SCREEN HERO (JPN),KIRARIN (JPN),GALAHAD RACING STABLE,1
21/07/2019,1,C5,1400,T,,8,5*954,PLATO,,,APP WH KOK,J O'HARA,6,46,59,4yo BR AUS H SH,PIERRO (AUS),SKATES (AUS),TOAST TRUSTS & J. HO STABLE,-1
21/07/2019,1,C5,1400,T,,9,6600,SILVER JOY,,"B, TT",APP N ZYRUL,RB MARSH,11,46,59,3yo BR AUS G SH,ALL AMERICAN (AUS),RAINBOW QUEEN (AUS),TTS NO 2 STABLE,-2
21/07/2019,1,C5,1400,T,,10,0*983,YULONG FIRE,,,M RODD,D KOK,9,46,59,4yo B IRE G NH,RED JAZZ (USA),ANKLESOCKS (IRE),YU LONG STABLE,-
21/07/2019,1,C5,1400,T,,11,0*8*0,ZMAN,,,C MURRAY,KY YOUNG,8,46,59,4yo CH AUS G SH,STREET BOSS (USA),NOT FUHR NOTHIN (AUS),SIAH SONGHAN,-2
21/07/2019,1,C5,1400,T,,12,18422,BROADWAY SUCCESS,,TT,R WOODWORTH,M WALKER,5,45,58.5,3yo B NZ G SH,ALAMOSA (NZ),BROADWAY EXPRESS (AUS),TE AKAU RACING STABLE,-
21/07/2019,1,C5,1400,T,,13,39027,GOLDEN THUNDER,,TT,B PINHEIRO,CT KUAH,1,45,58.5,5yo B IRE G NH,LILBOURNE LAD (IRE),PIACENZA (IRE),MY MAN STABLE,-1
21/07/2019,1,C5,1400,T,,14,44673,TAVITO,,"P, TT",D MOOR,KS TAN,12,44,58,4yo B NZ G SH,TAVISTOCK (NZ),RIO NUGGET (NZ),ASCOT STABLE,-
21/07/2019,1,C5,1400,T,,15,94436,GANGNAM CLASSIC,E1,TT,APP F YUSOFF,J SAIMEE,4,34,53,5yo B IRE G NH,DREAM AHEAD (USA),BORA BLUES (GB),SAIMEE BIN JUMAAT,-1
21/07/2019,1,C5,1400,T,,16,*9000,RICHIE RICH,E2,"B, TT",K A'ISISUHAIRI,J LIM,10,31,51.5,4yo B NZ G SH,DALGHAR (FR),BLOSSOMING (NZ),MT RACING STABLE,-3
21/07/2019,2,RM,1600,T,,1,252,ON LINE,,B,V DURIC,M CLEMENTS,1,52,57,3yo B NZ G SH,O'REILLY (NZ),FROCKSTAR (NZ),FALCON RACING NO 7 STABLE,-
21/07/2019,2,RM,1600,T,,2,2642,FOREVER WIN,,B,B THOMPSON,D LOGAN,7,50,57,3yo BR NZ G SH,EKRAAR (USA),ROCKANDREADY (NZ),HWA YI NO 6 STABLE,-
21/07/2019,2,RM,1600,T,,3,40*22,LIM'S HONOUR,,B,R WOODWORTH,D MEAGHER,11,46,57,3yo BR/GR NZ G SH,RELIABLE MAN (GB),FINAL VIEW (NZ),LIM'S STABLE,4
21/07/2019,2,RM,1600,T,,4,89*69,MONTOYA,,,T BERRY,S GRAY,14,43,57,3yo B AUS G SH,HIGH CHAPARRAL (IRE),AH HA (NZ),STEPHEN GRAY RACING STABLE,-1
