,date,race,class,distance,surface,horse_name,horse_rating,horse_weight,hcp_weight,c_wt,bar,jockey,trainer,lbw,l100m_time_2,l100m_distance_2,l100m_km_hr_2,peak_km_hr_2,avg_km_hr_2,distance_traveled_2,win_div_3,indexing,surf_numb,indexing_surf_dist,indexing_surf_dist_bar,indexing_date_race,indexing_date_horse,indexing_surf_dist_10,indexing_surf_dist_horse,binned_win_div_3,public_prob,total_count,win_count,total_wager,return_wager,loss_rebate,profit_loss
0,2018-06-01,1,C5,1200,T,ROCKET FIGHTER,33,551,52.0,52.0,7,O PLACAIS,L DRAGON,0.0,5.94,100.0,60.6,67.1,61.7,1218.0,37,0,1.0,1200.0,8400.0,2018-06-01 00:00:001,2018-06-01 00:00:00ROCKET FIGHTER,1200.0,1200.0ROCKET FIGHTER,$21+; Prob. <25%,13.513513513513514,1,1,5,37,0.0,32.0
1,2018-06-01,1,C5,1200,T,DOMINY,43,490,57.0,57.0,3,G BOSS,J O'HARA,-1.8,6.23,101.0,58.3,67.7,61.3,1216.0,19,1,1.0,1200.0,3600.0,2018-06-01 00:00:001,2018-06-01 00:00:00DOMINY,1200.0,1200.0DOMINY,$6-20; Prob. >=25%,26.31578947368421,1,0,5,0,0.5,-4.5
2,2018-06-01,1,C5,1200,T,GREATBALLS OF FIRE,42,515,56.5,56.5,6,M RODD,S BURRIDGE,-3.1,6.06,101.0,60.0,66.0,61.4,1220.0,11,2,1.0,1200.0,7200.0,2018-06-01 00:00:001,2018-06-01 00:00:00GREATBALLS OF FIRE,1200.0,1200.0GREATBALLS OF FIRE,$6-20; Prob. >=25%,45.45454545454545,1,0,5,0,0.5,-4.5
3,2018-06-01,1,C5,1200,T,EDEN GARDEN,42,474,56.5,52.5,8,APP N NURSHAHRIL,CT KUAH,-3.9,6.03,101.0,60.3,67.0,61.4,1223.0,138,3,1.0,1200.0,9600.0,2018-06-01 00:00:001,2018-06-01 00:00:00EDEN GARDEN,1200.0,1200.0EDEN GARDEN,$21+; Prob. <25%,3.6231884057971016,1,0,5,0,0.5,-4.5
4,2018-06-01,1,C5,1200,T,GOOD WARRIOR,41,488,56.0,56.0,4,N JUGLALL,L KHOO,-4.4,6.03,100.0,59.7,66.3,60.9,1214.0,147,4,1.0,1200.0,4800.0,2018-06-01 00:00:001,2018-06-01 00:00:00GOOD WARRIOR,1200.0,1200.0GOOD WARRIOR,$21+; Prob. <25%,3.4013605442176873,1,0,5,0,0.5,-4.5
5,2018-06-01,1,C5,1200,T,DICAPRIO,40,438,55.5,53.5,1,APP S SHAFRIZAL,KY YOUNG,-6.7,6.17,100.0,58.3,66.0,60.4,1212.0,75,5,1.0,1200.0,1200.0,2018-06-01 00:00:001,2018-06-01 00:00:00DICAPRIO,1200.0,1200.0DICAPRIO,$21+; Prob. <25%,6.666666666666667,1,0,5,0,0.5,-4.5
6,2018-06-01,1,C5,1200,T,LET'S TALK NOW,42,520,56.5,55.0,9,APP S NOH,M YUSOF,-6.9,5.97,101.0,60.9,66.0,60.9,1221.0,218,6,1.0,1200.0,10800.0,2018-06-01 00:00:001,2018-06-01 00:00:00LET'S TALK NOW,1200.0,1200.0LET'S TALK NOW,$21+; Prob. <25%,2.293577981651376,1,0,5,0,0.5,-4.5
7,2018-06-01,1,C5,1200,T,HEE'S FORTE,38,479,54.5,54.5,10,A COLLETT,J SAIMEE,-7.1,6.17,100.0,58.3,66.4,60.6,1215.0,127,7,1.0,1200.0,12000.0,2018-06-01 00:00:001,2018-06-01 00:00:00HEE'S FORTE,1200.0,1200.0HEE'S FORTE,$21+; Prob. <25%,3.937007874015748,1,0,5,0,0.5,-4.5
8,2018-06-01,1,C5,1200,T,DAYUAN,43,518,57.0,57.0,2,I SAIFUDIN,KY YOUNG,-7.6,6.03,101.0,60.3,65.0,60.5,1215.0,42,8,1.0,1200.0,2400.0,2018-06-01 00:00:001,2018-06-01 00:00:00DAYUAN,1200.0,1200.0DAYUAN,$21+; Prob. <25%,11.904761904761903,1,0,5,0,0.5,-4.5
9,2018-06-01,1,C5,1200,T,TOP BANANA,40,469,55.5,51.5,5,APP K NUH,H TAKAOKA,-7.8,6.14,100.0,58.6,65.3,60.7,1219.0,464,9,1.0,1200.0,6000.0,2018-06-01 00:00:001,2018-06-01 00:00:00TOP BANANA,1200.0,1200.0TOP BANANA,$21+; Prob. <25%,1.0775862068965518,1,0,5,0,0.5,-4.5
10,2018-06-01,1,C5,1200,T,SPEEDY NANCHO,34,432,52.5,51.5,12,APP WS CHAN,HW TAN,-10.6,6.34,101.0,57.3,65.9,60.7,1228.0,496,10,1.0,1200.0,14400.0,2018-06-01 00:00:001,2018-06-01 00:00:00SPEEDY NANCHO,1200.0,1200.0SPEEDY NANCHO,$21+; Prob. <25%,1.0080645161290323,1,0,5,0,0.5,-4.5
